freq,psd_x,psd_y,psd_z,psd_xyz
165.4,4.494e+04,9.020e+04,7.309e+04,2.082e+05
166.9,4.005e+04,8.710e+04,6.096e+04,1.881e+05
168.4,3.627e+04,8.749e+04,5.069e+04,1.744e+05
169.9,3.736e+04,9.179e+04,4.686e+04,1.760e+05
171.4,4.023e+04,9.564e+04,4.300e+04,1.789e+05
172.9,4.748e+04,1.070e+05,3.940e+04,1.939e+05
174.4,5.234e+04,1.155e+05,3.708e+04,2.049e+05
175.9,5.313e+04,1.213e+05,3.387e+04,2.083e+05
177.4,5.117e+04,1.206e+05,2.854e+04,2.003e+05
178.9,4.666e+04,1.118e+05,2.256e+04,1.810e+05
180.4,4.345e+04,1.038e+05,1.895e+04,1.662e+05
181.9,4.235e+04,9.569e+04,1.692e+04,1.550e+05
183.4,4.151e+04,8.824e+04,1.533e+04,1.451e+05
184.9,4.037e+04,8.120e+04,1.427e+04,1.358e+05
186.4,4.024e+04,7.710e+04,1.363e+04,1.310e+05
187.9,4.219e+04,7.509e+04,1.290e+04,1.302e+05
189.4,4.379e+04,7.293e+04,1.210e+04,1.288e+05
191.0,4.393e+04,7.053e+04,1.216e+04,1.266e+05
192.5,4.141e+04,6.821e+04,1.268e+04,1.223e+05
194.0,3.936e+04,6.981e+04,1.333e+04,1.225e+05
195.5,4.091e+04,6.717e+04,1.351e+04,1.216e+05
197.0,4.450e+04,6.342e+04,1.327e+04,1.212e+05
198.5,5.060e+04,6.626e+04,1.325e+04,1.301e+05
200.0,5.640e+04,7.444e+04,1.310e+04,1.439e+05
